----------------------------------------------------------------------
SPECTRUM: CWW_E_ext
FILTER:        SDSS r + CCD, [MT]  no atmosphere (Ref. F. Castander)
----------------------------------------------------------------------
rv.049      0.00000      0.00000
rv.048    0.0330000    0.0368351
rv.047    0.0670000    0.0823542
rv.046     0.102000     0.131185
rv.045     0.137000     0.180728
rv.044     0.173000     0.230089
rv.043     0.209000     0.276324
rv.042     0.247000     0.336395
rv.041     0.285000     0.409164
rv.040     0.324000     0.497383
rv.039     0.364000     0.580089
rv.038     0.405000     0.688596
rv.037     0.447000     0.842527
rv.036     0.490000      1.01792
rv.035     0.533000      1.19742
rv.034     0.579000      1.39093
rv.033     0.625000      1.56415
rv.032     0.673000      1.73095
rv.031     0.722000      1.91221
rv.030     0.773000      2.05134
rv.029     0.824000      2.13514
rv.028     0.878000      2.25416
rv.027     0.933000      2.39631
rv.026     0.990000      2.54492
rv.025      1.05000      2.72522
rv.024      1.11200      2.94217
rv.023      1.17500      3.20823
rv.022      1.24100      3.49169
rv.021      1.31100      3.77351
rv.020      1.38100      4.07070
rv.019      1.45500      4.35493
rv.018      1.53200      4.58472
rv.017      1.61300      4.74719
rv.016      1.69700      4.82562
rv.015      1.78500      4.85801
rv.014      1.87600      4.88009
rv.013      1.97000      4.91405
rv.012      2.06800      4.97314
rv.011      2.17500      5.05904
rv.010      2.28600      5.15289
rv.009      2.39700      5.23728
rv.008      2.51800      5.31137
rv.007      2.64500      5.36620
rv.006      2.77600      5.40215
rv.005      2.91700      5.42288
rv.004      3.06500      5.43196
rv.003      3.22800      5.41374
rv.002      3.38400      5.38685
rv.001      3.56800      5.36268

----------------------------------------------------------------------
SPECTRUM: CWW_Sbc_ext
FILTER:        SDSS r + CCD, [MT]  no atmosphere (Ref. F. Castander)
----------------------------------------------------------------------
rv.049      0.00000      0.00000
rv.048    0.0330000    0.0164309
rv.047    0.0670000    0.0375203
rv.046     0.102000    0.0580596
rv.045     0.137000    0.0756855
rv.044     0.173000    0.0920796
rv.043     0.209000     0.109396
rv.042     0.247000     0.132778
rv.041     0.285000     0.165064
rv.040     0.324000     0.195408
rv.039     0.364000     0.228518
rv.038     0.405000     0.274462
rv.037     0.447000     0.335383
rv.036     0.490000     0.411413
rv.035     0.533000     0.500158
rv.034     0.579000     0.602217
rv.033     0.625000     0.701905
rv.032     0.673000     0.821049
rv.031     0.722000     0.953645
rv.030     0.773000      1.08737
rv.029     0.824000      1.21279
rv.028     0.878000      1.33950
rv.027     0.933000      1.44943
rv.026     0.990000      1.55874
rv.025      1.05000      1.65826
rv.024      1.11200      1.74036
rv.023      1.17500      1.80548
rv.022      1.24100      1.85922
rv.021      1.31100      1.90518
rv.020      1.38100      1.94347
rv.019      1.45500      1.97831
rv.018      1.53200      2.01055
rv.017      1.61300      2.04075
rv.016      1.69700      2.06781
rv.015      1.78500      2.09113
rv.014      1.87600      2.11076
rv.013      1.97000      2.12826
rv.012      2.06800      2.14674
rv.011      2.17500      2.17055
rv.010      2.28600      2.19329
rv.009      2.39700      2.21096
rv.008      2.51800      2.23092
rv.007      2.64500      2.25644
rv.006      2.77600      2.25646
rv.005      2.91700      2.23110
rv.004      3.06500      2.19626
rv.003      3.22800      2.14883
rv.002      3.38400      2.10382
rv.001      3.56800      2.07321

----------------------------------------------------------------------
SPECTRUM: CWW_Scd_ext
FILTER:        SDSS r + CCD, [MT]  no atmosphere (Ref. F. Castander)
----------------------------------------------------------------------
rv.049      0.00000      0.00000
rv.048    0.0330000   0.00272922
rv.047    0.0670000   0.00956044
rv.046     0.102000    0.0133413
rv.045     0.137000    0.0109072
rv.044     0.173000    0.0137370
rv.043     0.209000    0.0202146
rv.042     0.247000    0.0285574
rv.041     0.285000    0.0458820
rv.040     0.324000    0.0643069
rv.039     0.364000    0.0876854
rv.038     0.405000     0.132778
rv.037     0.447000     0.186168
rv.036     0.490000     0.244068
rv.035     0.533000     0.315695
rv.034     0.579000     0.400563
rv.033     0.625000     0.482676
rv.032     0.673000     0.573766
rv.031     0.722000     0.668698
rv.030     0.773000     0.759418
rv.029     0.824000     0.837877
rv.028     0.878000     0.920345
rv.027     0.933000     0.973711
rv.026     0.990000      1.02223
rv.025      1.05000      1.07118
rv.024      1.11200      1.11685
rv.023      1.17500      1.15809
rv.022      1.24100      1.19478
rv.021      1.31100      1.22452
rv.020      1.38100      1.24438
rv.019      1.45500      1.25554
rv.018      1.53200      1.25795
rv.017      1.61300      1.25215
rv.016      1.69700      1.23931
rv.015      1.78500      1.22096
rv.014      1.87600      1.19979
rv.013      1.97000      1.17836
rv.012      2.06800      1.15974
rv.011      2.17500      1.14854
rv.010      2.28600      1.14156
rv.009      2.39700      1.13575
rv.008      2.51800      1.13688
rv.007      2.64500      1.14935
rv.006      2.77600      1.14211
rv.005      2.91700      1.11480
rv.004      3.06500      1.07954
rv.003      3.22800      1.03166
rv.002      3.38400     0.986168
rv.001      3.56800     0.954974

----------------------------------------------------------------------
SPECTRUM: CWW_Im_ext
FILTER:        SDSS r + CCD, [MT]  no atmosphere (Ref. F. Castander)
----------------------------------------------------------------------
rv.049      0.00000      0.00000
rv.048    0.0330000  8.37379e-05
rv.047    0.0670000  -0.00259493
rv.046     0.102000   -0.0261468
rv.045     0.137000   -0.0708717
rv.044     0.173000   -0.0938487
rv.043     0.209000    -0.106389
rv.042     0.247000    -0.121261
rv.041     0.285000    -0.131464
rv.040     0.324000    -0.135643
rv.039     0.364000    -0.136893
rv.038     0.405000   -0.0886665
rv.037     0.447000   -0.0576205
rv.036     0.490000   -0.0506915
rv.035     0.533000   -0.0261499
rv.034     0.579000    0.0187712
rv.033     0.625000    0.0666832
rv.032     0.673000     0.118834
rv.031     0.722000     0.177214
rv.030     0.773000     0.233839
rv.029     0.824000     0.283909
rv.028     0.878000     0.358811
rv.027     0.933000     0.383394
rv.026     0.990000     0.390054
rv.025      1.05000     0.394341
rv.024      1.11200     0.392767
rv.023      1.17500     0.385843
rv.022      1.24100     0.374282
rv.021      1.31100     0.358689
