----------------------------------------------------------------------
SPECTRUM: CWW_E_ext
FILTER:        SDSS g + CCD, [MT]  no atmosphere (Ref. F. Castander)
----------------------------------------------------------------------
rv.049      0.00000      0.00000
rv.048    0.0330000     0.106873
rv.047    0.0670000     0.220899
rv.046     0.102000     0.343280
rv.045     0.137000     0.488872
rv.044     0.173000     0.658994
rv.043     0.209000     0.837922
rv.042     0.247000      1.02553
rv.041     0.285000      1.19619
rv.040     0.324000      1.36660
rv.039     0.364000      1.56216
rv.038     0.405000      1.71651
rv.037     0.447000      1.82121
rv.036     0.490000      1.96182
rv.035     0.533000      2.11690
rv.034     0.579000      2.28453
rv.033     0.625000      2.46927
rv.032     0.673000      2.68500
rv.031     0.722000      2.93922
rv.030     0.773000      3.19550
rv.029     0.824000      3.42548
rv.028     0.878000      3.67608
rv.027     0.933000      3.90917
rv.026     0.990000      4.10720
rv.025      1.05000      4.26514
rv.024      1.11200      4.36626
rv.023      1.17500      4.42123
rv.022      1.24100      4.45711
rv.021      1.31100      4.48960
rv.020      1.38100      4.53098
rv.019      1.45500      4.58840
rv.018      1.53200      4.65859
rv.017      1.61300      4.73113
rv.016      1.69700      4.79766
rv.015      1.78500      4.85273
rv.014      1.87600      4.89200
rv.013      1.97000      4.91179
rv.012      2.06800      4.91440
rv.011      2.17500      4.90748
rv.010      2.28600      4.89993
rv.009      2.39700      4.89455
rv.008      2.51800      4.87804
rv.007      2.64500      4.85034
rv.006      2.77600      4.81924
rv.005      2.91700      4.78793
rv.004      3.06500      4.77352
rv.003      3.22800      4.77669
rv.002      3.38400      4.80112
rv.001      3.56800      4.84368

----------------------------------------------------------------------
SPECTRUM: CWW_Sbc_ext
FILTER:        SDSS g + CCD, [MT]  no atmosphere (Ref. F. Castander)
----------------------------------------------------------------------
rv.049      0.00000      0.00000
rv.048    0.0330000    0.0451234
rv.047    0.0670000    0.0952720
rv.046     0.102000     0.158132
rv.045     0.137000     0.231742
rv.044     0.173000     0.318661
rv.043     0.209000     0.416134
rv.042     0.247000     0.526416
rv.041     0.285000     0.634133
rv.040     0.324000     0.755984
rv.039     0.364000     0.887928
rv.038     0.405000      1.01486
rv.037     0.447000      1.13468
rv.036     0.490000      1.24886
rv.035     0.533000      1.34441
rv.034     0.579000      1.44214
rv.033     0.625000      1.52599
rv.032     0.673000      1.59684
rv.031     0.722000      1.65441
rv.030     0.773000      1.70239
rv.029     0.824000      1.74166
rv.028     0.878000      1.77641
rv.027     0.933000      1.80633
rv.026     0.990000      1.83308
rv.025      1.05000      1.85785
rv.024      1.11200      1.88077
rv.023      1.17500      1.90211
rv.022      1.24100      1.92372
rv.021      1.31100      1.94600
rv.020      1.38100      1.96520
rv.019      1.45500      1.98167
rv.018      1.53200      1.99763
rv.017      1.61300      2.01470
rv.016      1.69700      2.02575
rv.015      1.78500      2.02729
rv.014      1.87600      2.02479
rv.013      1.97000      2.01287
rv.012      2.06800      1.98858
rv.011      2.17500      1.95702
rv.010      2.28600      1.94103
rv.009      2.39700      1.93674
rv.008      2.51800      1.91869
rv.007      2.64500      1.89148
rv.006      2.77600      1.88450
rv.005      2.91700      1.88685
rv.004      3.06500      1.91475
rv.003      3.22800      1.97187
rv.002      3.38400      2.05564
rv.001      3.56800      2.15966

----------------------------------------------------------------------
SPECTRUM: CWW_Scd_ext
FILTER:        SDSS g + CCD, [MT]  no atmosphere (Ref. F. Castander)
----------------------------------------------------------------------
rv.049      0.00000      0.00000
rv.048    0.0330000    0.0294784
rv.047    0.0670000    0.0650686
rv.046     0.102000     0.119946
rv.045     0.137000     0.187561
rv.044     0.173000     0.259028
rv.043     0.209000     0.335342
rv.042     0.247000     0.417472
rv.041     0.285000     0.496144
rv.040     0.324000     0.581525
rv.039     0.364000     0.671024
rv.038     0.405000     0.754764
rv.037     0.447000     0.830719
rv.036     0.490000     0.906067
rv.035     0.533000     0.953720
rv.034     0.579000     0.998478
rv.033     0.625000      1.03879
rv.032     0.673000      1.07461
rv.031     0.722000      1.10523
rv.030     0.773000      1.13076
rv.029     0.824000      1.14917
rv.028     0.878000      1.16087
rv.027     0.933000      1.16511
rv.026     0.990000      1.16236
rv.025      1.05000      1.15344
rv.024      1.11200      1.14020
rv.023      1.17500      1.12521
rv.022      1.24100      1.11104
rv.021      1.31100      1.09928
rv.020      1.38100      1.08857
rv.019      1.45500      1.07782
rv.018      1.53200      1.07024
rv.017      1.61300      1.06709
rv.016      1.69700      1.06124
rv.015      1.78500      1.04923
rv.014      1.87600      1.03709
rv.013      1.97000      1.01944
rv.012      2.06800     0.993060
rv.011      2.17500     0.960960
rv.010      2.28600     0.944581
rv.009      2.39700     0.939935
rv.008      2.51800     0.921465
rv.007      2.64500     0.893852
rv.006      2.77600     0.886506
rv.005      2.91700     0.888499
rv.004      3.06500     0.916085
rv.003      3.22800     0.972975
rv.002      3.38400      1.05667
rv.001      3.56800      1.16086

----------------------------------------------------------------------
SPECTRUM: CWW_Im_ext
FILTER:        SDSS g + CCD, [MT]  no atmosphere (Ref. F. Castander)
----------------------------------------------------------------------
rv.049      0.00000      0.00000
rv.048    0.0330000  -0.00336917
rv.047    0.0670000  -0.00363614
rv.046     0.102000    0.0323109
rv.045     0.137000    0.0818508
rv.044     0.173000     0.118717
rv.043     0.209000     0.156445
rv.042     0.247000     0.198482
rv.041     0.285000     0.240948
rv.040     0.324000     0.286317
rv.039     0.364000     0.335578
rv.038     0.405000     0.379113
rv.037     0.447000     0.419477
rv.036     0.490000     0.476450
rv.035     0.533000     0.488831
rv.034     0.579000     0.489918
rv.033     0.625000     0.488169
rv.032     0.673000     0.481785
rv.031     0.722000     0.471406
rv.030     0.773000     0.457670
rv.029     0.824000     0.441984
rv.028     0.878000     0.424131
rv.027     0.933000     0.405321
rv.026     0.990000     0.385722
rv.025      1.05000     0.365491
rv.024      1.11200     0.345628
rv.023      1.17500     0.327072
rv.022      1.24100     0.309824
rv.021      1.31100     0.294329
rv.020      1.38100     0.281820
rv.019      1.45500     0.271709
