----------------------------------------------------------------------
SPECTRUM: CWW_E_ext
FILTER:        SDSS i + CCD, [MT]  no atmosphere (Ref. F. Castander)
----------------------------------------------------------------------
rv.049      0.00000      0.00000
rv.048    0.0330000    0.0162728
rv.047    0.0670000    0.0321301
rv.046     0.102000    0.0527285
rv.045     0.137000    0.0791985
rv.044     0.173000     0.105767
rv.043     0.209000     0.133319
rv.042     0.247000     0.167048
rv.041     0.285000     0.203206
rv.040     0.324000     0.244586
rv.039     0.364000     0.295161
rv.038     0.405000     0.348967
rv.037     0.447000     0.393424
rv.036     0.490000     0.435744
rv.035     0.533000     0.486367
rv.034     0.579000     0.552559
rv.033     0.625000     0.638506
rv.032     0.673000     0.732325
rv.031     0.722000     0.839994
rv.030     0.773000     0.989204
rv.029     0.824000      1.17588
rv.028     0.878000      1.37256
rv.027     0.933000      1.56084
rv.026     0.990000      1.73840
rv.025      1.05000      1.90587
rv.024      1.11200      2.07968
rv.023      1.17500      2.20016
rv.022      1.24100      2.28435
rv.021      1.31100      2.42144
rv.020      1.38100      2.57050
rv.019      1.45500      2.73903
rv.018      1.53200      2.94282
rv.017      1.61300      3.19383
rv.016      1.69700      3.50051
rv.015      1.78500      3.80550
rv.014      1.87600      4.12951
rv.013      1.97000      4.44828
rv.012      2.06800      4.70758
rv.011      2.17500      4.88522
rv.010      2.28600      4.96348
rv.009      2.39700      4.98941
rv.008      2.51800      5.01286
rv.007      2.64500      5.05784
rv.006      2.77600      5.13386
rv.005      2.91700      5.23482
rv.004      3.06500      5.33711
rv.003      3.22800      5.42978
rv.002      3.38400      5.49381
rv.001      3.56800      5.54165

----------------------------------------------------------------------
SPECTRUM: CWW_Sbc_ext
FILTER:        SDSS i + CCD, [MT]  no atmosphere (Ref. F. Castander)
----------------------------------------------------------------------
rv.049      0.00000      0.00000
rv.048    0.0330000    0.0238317
rv.047    0.0670000    0.0471500
rv.046     0.102000    0.0701356
rv.045     0.137000    0.0921608
rv.044     0.173000     0.113576
rv.043     0.209000     0.131876
rv.042     0.247000     0.146083
rv.041     0.285000     0.159136
rv.040     0.324000     0.178529
rv.039     0.364000     0.199661
rv.038     0.405000     0.217487
rv.037     0.447000     0.234070
rv.036     0.490000     0.250692
rv.035     0.533000     0.270032
rv.034     0.579000     0.296218
rv.033     0.625000     0.328445
rv.032     0.673000     0.363932
rv.031     0.722000     0.407660
rv.030     0.773000     0.466810
rv.029     0.824000     0.542221
rv.028     0.878000     0.633240
rv.027     0.933000     0.737819
rv.026     0.990000     0.843380
rv.025      1.05000     0.966609
rv.024      1.11200      1.10309
rv.023      1.17500      1.23824
rv.022      1.24100      1.37201
rv.021      1.31100      1.50578
rv.020      1.38100      1.61907
rv.019      1.45500      1.73196
rv.018      1.53200      1.82831
rv.017      1.61300      1.90678
rv.016      1.69700      1.96898
rv.015      1.78500      2.02010
rv.014      1.87600      2.06352
rv.013      1.97000      2.10174
rv.012      2.06800      2.13675
rv.011      2.17500      2.17099
rv.010      2.28600      2.20161
rv.009      2.39700      2.22637
rv.008      2.51800      2.24710
rv.007      2.64500      2.26467
rv.006      2.77600      2.28262
rv.005      2.91700      2.30794
rv.004      3.06500      2.33841
rv.003      3.22800      2.36033
rv.002      3.38400      2.37870
rv.001      3.56800      2.40529

----------------------------------------------------------------------
SPECTRUM: CWW_Scd_ext
FILTER:        SDSS i + CCD, [MT]  no atmosphere (Ref. F. Castander)
----------------------------------------------------------------------
rv.049      0.00000      0.00000
rv.048    0.0330000  -0.00311388
rv.047    0.0670000  -0.00565708
rv.046     0.102000  -0.00764926
rv.045     0.137000  -0.00895036
rv.044     0.173000  -0.00979654
rv.043     0.209000  -0.00970571
rv.042     0.247000  -0.00710554
rv.041     0.285000  -0.00408153
rv.040     0.324000   0.00361142
rv.039     0.364000    0.0108496
rv.038     0.405000   0.00586594
rv.037     0.447000   0.00487927
rv.036     0.490000   0.00983740
rv.035     0.533000    0.0168807
rv.034     0.579000    0.0325139
rv.033     0.625000    0.0547856
rv.032     0.673000    0.0816800
rv.031     0.722000     0.124238
rv.030     0.773000     0.174546
rv.029     0.824000     0.233912
rv.028     0.878000     0.302157
rv.027     0.933000     0.388735
rv.026     0.990000     0.480077
rv.025      1.05000     0.578226
rv.024      1.11200     0.677025
rv.023      1.17500     0.766619
rv.022      1.24100     0.846225
rv.021      1.31100     0.925865
rv.020      1.38100     0.976582
rv.019      1.45500      1.02844
rv.018      1.53200      1.07936
rv.017      1.61300      1.12753
rv.016      1.69700      1.17110
rv.015      1.78500      1.20746
rv.014      1.87600      1.23350
rv.013      1.97000      1.24850
rv.012      2.06800      1.25324
rv.011      2.17500      1.24874
rv.010      2.28600      1.23602
rv.009      2.39700      1.21750
rv.008      2.51800      1.19355
rv.007      2.64500      1.16814
rv.006      2.77600      1.14590
rv.005      2.91700      1.13327
rv.004      3.06500      1.13235
rv.003      3.22800      1.12922
rv.002      3.38400      1.13213
rv.001      3.56800      1.14893

----------------------------------------------------------------------
SPECTRUM: CWW_Im_ext
FILTER:        SDSS i + CCD, [MT]  no atmosphere (Ref. F. Castander)
----------------------------------------------------------------------
rv.049      0.00000      0.00000
rv.048    0.0330000   0.00375086
rv.047    0.0670000   0.00643787
rv.046     0.102000   0.00795171
rv.045     0.137000   0.00818900
rv.044     0.173000   0.00777555
rv.043     0.209000   0.00829163
rv.042     0.247000   0.00962061
rv.041     0.285000    0.0101590
rv.040     0.324000   0.00714067
rv.039     0.364000  -0.00631848
rv.038     0.405000   -0.0676827
rv.037     0.447000    -0.104382
rv.036     0.490000    -0.117222
rv.035     0.533000    -0.124215
rv.034     0.579000    -0.128550
rv.033     0.625000    -0.124392
rv.032     0.673000    -0.117996
rv.031     0.722000   -0.0768738
rv.030     0.773000   -0.0513663
rv.029     0.824000   -0.0346714
rv.028     0.878000   -0.0285131
rv.027     0.933000    0.0115686
rv.026     0.990000    0.0703230
rv.025      1.05000     0.133139
rv.024      1.11200     0.198708
rv.023      1.17500     0.258426
rv.022      1.24100     0.312615
